"age","employment_mean","sleep_mean","work_mean","tv_mean","edu_mean","household_mean","relax_mean","carehh_mean","eat_mean","travel_mean","personalcare_mean","sport_mean","buy_mean","religion_mean","telephone_mean","carenhh_mean","volunteer_mean"
42,1.0,461.5478405534795,502.56526648514216,101.96185161404694,1.088512617250304,63.04103515203967,146.37391906851553,31.05414936997535,60.80126379409043,80.87361562886923,42.46353277008623,10.618750018400263,10.264569396508188,1.8101670711587303,2.167698938965266,4.413627169026467,6.0367546683979265
43,1.0,450.66354520755823,518.6978737749367,101.01711525966226,3.1161009435878517,55.31452987572934,150.88609542909086,26.165664996438032,60.722511390788796,78.28194342990767,46.49553487406715,12.511690317732928,11.39210322465517,2.76968296642041,2.6880664445871174,2.328751357784531,5.388189700838344
44,1.0,453.12523456745595,497.73885523622323,101.99407613233498,2.9000747181462065,64.25578554400695,153.0845534915446,23.87170467326414,60.70044060548971,82.435509153974,46.45946607599509,14.064251605680312,12.994629836365593,4.027251797795826,2.580067512119024,3.1681798403473937,4.92857477122881
45,1.0,444.4788039563411,507.7721388737314,106.88690977672039,1.9340437121933518,62.88636454346272,154.0064431459859,23.671474717059628,63.50078223831624,81.42657475434851,47.2098567159008,12.90431949755053,13.03707099117922,6.061299621559343,2.6320740615316986,2.475329129609703,4.466281236716085
46,1.0,455.21137910008065,498.8159484406121,104.69814103206795,1.6170461734931387,63.41542458224294,156.64432069724998,19.01126709722914,64.39429762038355,79.064433694461,45.7997570710605,13.789887313282147,11.93827092297521,3.213096413647187,2.791723728215108,3.3034132349170675,7.24248012205741
47,1.0,446.44048432990957,501.76393551995176,107.22645338402933,2.306802347144294,65.95653424361285,159.48676655997363,17.970600188098945,60.450181543037836,82.36053790440442,48.129149865471256,12.872377185191135,12.152274325747111,3.2956639898407953,3.155893261916988,4.215372150333905,5.039698259658896
48,1.0,451.73777541812245,507.9505225497575,109.84148885287472,2.623004359558235,62.664094519486646,159.8014027486203,14.704713455876334,62.217126764141106,77.15707247528722,45.961021823183984,12.101583432449933,10.969087533960204,3.9339672062671425,2.6422980551393227,5.40779099303724,5.0390522410223095
49,1.0000000000000002,442.8413844856829,507.21536680177536,106.26825049310189,2.919688522186323,67.60224525128379,160.1050950532902,11.259880024611176,61.17162025549221,79.41072576677102,48.64607790065004,13.41433256847291,12.671150565077049,4.497299112640395,3.234910958159408,2.7987132398140258,6.321221791909371
50,1.0,453.0745107641605,502.02442702843587,104.98058753795114,1.4668176698170203,61.84571802883831,162.22258306413394,10.230935856578801,61.172747754183106,80.32865781882023,48.05874995925625,12.047357427907894,12.917015811764783,4.001588326773656,3.3495207687352035,3.3636962188141823,7.836796238340419
51,0.9999999999999998,453.56822133823715,510.7148299405967,108.34200529961974,1.2786643024437894,65.63535503266903,162.54027486096066,8.14808257666379,63.39197827586703,75.38727577620807,46.1311808999974,10.51247992833097,11.664241282868225,3.0681787224910844,4.313484349797334,4.544834410631111,4.197936235734495
52,1.0,448.02871214142357,510.6780326788338,104.73512342959552,1.7324320698928974,66.74940035176971,161.71222266414085,6.413594074551458,63.09635254066313,76.33909349106109,47.97652113594017,10.102071383263409,13.254242760269674,3.3656100328424996,3.7215475195848358,5.525292463885084,6.962318810972543
53,1.0,447.78694383589306,507.84555133730646,105.65911706396673,1.4234335400857663,67.24817827393127,162.14422419825985,7.52350130962122,62.61105119734688,75.8086641796866,48.1139694523515,14.008998158857493,12.20612859865659,3.5277626011865375,3.467136855493161,6.814614521152858,4.916738851652542
54,1.0,443.1421599025957,496.4579578024722,113.37154678109498,2.424230449280409,67.73350289905328,168.02157621084953,7.504904992711241,64.93780670717673,78.21372196893641,49.019835528354704,10.381419828803953,12.750702092930121,3.5989278670339084,3.992530386579012,6.958404786507495,5.191478329651159
55,1.0,453.45309869021986,503.70981589573046,112.19119578358553,1.686545662923151,70.38367117789662,164.34462262064883,4.082278596276491,65.90142476620618,71.63923266585292,49.540511234988536,11.865974315527831,12.945853013577853,3.329794240724475,4.192388291794733,3.2824704458569607,6.512438148191816
56,1.0,453.6988859376041,500.52034788289035,122.24673416981082,1.8853164625412417,60.117575101110916,178.4419446380538,4.6010138378568115,66.51256003844969,74.60085667731335,47.30793956988123,10.833892295298355,10.556251246431342,3.7668678638631783,2.79522330946701,6.710036182553732,3.679088638724133
57,1.0,446.94673779357726,491.0366843565185,125.36691380606533,0.8937295810192115,66.81641459024958,179.2652592621498,3.8214276009274353,68.72037290763438,76.38240960253987,49.670351938706595,9.736378429349928,12.716049830525032,3.3395546560307414,4.119992856508835,4.804796129666098,5.942850802095565
58,1.0,448.5251649641389,508.1291907360229,119.21819370369323,0.8649117986000954,60.68507026684827,171.9980346820018,4.423855277746811,62.54846660564987,77.94717457715213,46.25105704437265,11.484617502565783,12.418886325411501,3.0231766589555904,3.4242643353589264,6.028383458116607,4.998290324141014
59,1.0,454.79061739976066,496.51250109224856,118.779461290925,0.8938048746369823,65.61844563561016,173.4595766342843,1.9641836312660998,66.58867416376651,76.11450644387547,45.22649016656403,10.911053526363357,13.99344219737252,3.59788599530888,2.610544375886397,4.947265496163748,5.924234117519991
